url,title,meta_description,robots_meta,og:title,og:description,og:image,twitter:card,jsonld_types
https://kbtu.edu.kz/en/about-the-university/financial-statements-en,Financial Statements,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/about-us,About Us,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/league-of-academic-integrity,League of Academic Integrity,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/management-structure,Management Structure,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/scientific-council,Scientific Council,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/events,Events,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/advisory-board,Advisory Board,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/rector-s-welcome,Rector’s Welcome Message,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/about-the-university/rector-reports,Rector reports,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news?start=210,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4789-kbtu-strengthens-international-relations-in-jakarta-indonesia,"KBTU STRENGTHENS INTERNATIONAL RELATIONS IN JAKARTA, INDONESIA",KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news?start=40,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4798-kbtu-expands-collaboration-with-the-university-of-staffordshire-uk-in-it-ai-cybersecurity-and-game-development,"KBTU EXPANDS COLLABORATION WITH THE UNIVERSITY OF STAFFORDSHIRE (UK) IN IT, AI, CYBERSECURITY, AND GAME DEVELOPMENT",KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news?start=60,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news?start=90,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news?start=50,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4800-kbtu-delegates-engaged-in-king-s-climate-sustainability-networking-event,KBTU DELEGATES ENGAGED IN KING’S CLIMATE &amp; SUSTAINABILITY NETWORKING EVENT,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news?start=70,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news?start=30,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4629-professor-at-kbtu-business-school-kairzhan-abdykhalykov-was-elected-to-the-national-councilstakeholders-nhs,PROFESSOR AT KBTU BUSINESS SCHOOL KAIRZHAN ABDYKHALYKOV WAS ELECTED TO THE NATIONAL COUNCILSTAKEHOLDERS (NHS),KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4645-the-international-summer-school-has-completed-its-work,THE INTERNATIONAL SUMMER SCHOOL HAS COMPLETED ITS WORK,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4612-kbtu-doctoral-students-spend-a-year-at-the-university-of-salerno-italy-to-conduct-research,KBTU DOCTORAL STUDENTS SPEND A YEAR AT THE UNIVERSITY OF SALERNO (ITALY) TO CONDUCT RESEARCH,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4608-kbtu-students-participated-in-the-cultural-camp-exploring-china-journey-to-jiangxi,"KBTU students participated in the cultural camp &quot;Exploring China, Journey to Jiangxi&quot;",KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news?start=190,News,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4539-visit-of-the-delegation-of-the-mayor-of-karamai-to-kbtu,VISIT OF THE DELEGATION OF THE MAYOR OF KARAMAI TO KBTU,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4476-cooperation-between-kbtu-and-nanotechprom-llp,COOPERATION BETWEEN KBTU AND NANOTECHPROM LLP,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4616-abay-day,ABAY DAY,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4373-kbtu-students-reached-the-final-of-the-shell-eco-marathon-asia-middle-east-in-indonesia,KBTU STUDENTS REACHED THE FINAL OF THE SHELL-ECO MARATHON ASIA-MIDDLE EAST IN INDONESIA,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
https://kbtu.edu.kz/en/news/4400-kbtu-employees-have-completed-an-intensive-course-according-to-the-iso-27001-standard,KBTU EMPLOYEES HAVE COMPLETED AN INTENSIVE COURSE ACCORDING TO THE ISO 27001 STANDARD,KBTU - Лучший Технический университет Казахстана - образование на английском языке в Алматы - диплом международного уровня - техническое образование в Алматы - Тел. ☎ +7( 727) 357 42 51,,,,,,['BreadcrumbList']
